Player,Nationality,Rating,Image
ShowMaker, KR,82,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/3/3f/EDG_Xiamu_2024_Split_1.png/revision/latest/scale-to-width-down/220?cb=20240307144147
kingen, KR,75,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/3/3f/EDG_Xiamu_2024_Split_1.png/revision/latest/scale-to-width-down/220?cb=20240307144147
Kanavi, KR,83,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/3/3f/EDG_Xiamu_2024_Split_1.png/revision/latest/scale-to-width-down/220?cb=20240307144147
Missing, CN,59,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/3/3f/EDG_Xiamu_2024_Split_1.png/revision/latest/scale-to-width-down/220?cb=20240307144147
Ruler, KR,96,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/3/3f/EDG_Xiamu_2024_Split_1.png/revision/latest/scale-to-width-down/220?cb=20240307144147
Yagao, CN,87,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/3/3f/EDG_Xiamu_2024_Split_1.png/revision/latest/scale-to-width-down/220?cb=20240307144147
Faker, KR,92,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/3/3f/EDG_Xiamu_2024_Split_1.png/revision/latest/scale-to-width-down/220?cb=20240307144147
Gumayusi, KR,90,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/3/3f/EDG_Xiamu_2024_Split_1.png/revision/latest/scale-to-width-down/220?cb=20240307144147
Keria, KR,67,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/3/3f/EDG_Xiamu_2024_Split_1.png/revision/latest/scale-to-width-down/220?cb=20240307144147
Zeus, KR,86,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/3/3f/EDG_Xiamu_2024_Split_1.png/revision/latest/scale-to-width-down/220?cb=20240307144147
Xiaohao, CN,71,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/3/3f/EDG_Xiamu_2024_Split_1.png/revision/latest/scale-to-width-down/220?cb=20240307144147
Canyon, KR,80,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/3/3f/EDG_Xiamu_2024_Split_1.png/revision/latest/scale-to-width-down/220?cb=20240307144147
Chovy, KR,100,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/3/3f/EDG_Xiamu_2024_Split_1.png/revision/latest/scale-to-width-down/220?cb=20240307144147
Kiin, KR,85,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/3/3f/EDG_Xiamu_2024_Split_1.png/revision/latest/scale-to-width-down/220?cb=20240307144147
Lehends, KR,63,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/3/3f/EDG_Xiamu_2024_Split_1.png/revision/latest/scale-to-width-down/220?cb=20240307144147
Peyz, KR,99,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/3/3f/EDG_Xiamu_2024_Split_1.png/revision/latest/scale-to-width-down/220?cb=20240307144147
Oner, KR,77,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/3/3f/EDG_Xiamu_2024_Split_1.png/revision/latest/scale-to-width-down/220?cb=20240307144147
Humanoid, CZ,91,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/3/3f/EDG_Xiamu_2024_Split_1.png/revision/latest/scale-to-width-down/220?cb=20240307144147
Jun, KR,59,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/3/3f/EDG_Xiamu_2024_Split_1.png/revision/latest/scale-to-width-down/220?cb=20240307144147
Noah, KR,96,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/3/3f/EDG_Xiamu_2024_Split_1.png/revision/latest/scale-to-width-down/220?cb=20240307144147
Oscarinin, ES,78,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/3/3f/EDG_Xiamu_2024_Split_1.png/revision/latest/scale-to-width-down/220?cb=20240307144147
Razork, ES,78,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/3/3f/EDG_Xiamu_2024_Split_1.png/revision/latest/scale-to-width-down/220?cb=20240307144147
Zdz, CN,71,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/3/3f/EDG_Xiamu_2024_Split_1.png/revision/latest/scale-to-width-down/220?cb=20240307144147
Bin, CN,85,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/3/3f/EDG_Xiamu_2024_Split_1.png/revision/latest/scale-to-width-down/220?cb=20240307144147
Elk, CN,98,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/3/3f/EDG_Xiamu_2024_Split_1.png/revision/latest/scale-to-width-down/220?cb=20240307144147
Knight, CN,95,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/3/3f/EDG_Xiamu_2024_Split_1.png/revision/latest/scale-to-width-down/220?cb=20240307144147
ON, CN,66,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/3/3f/EDG_Xiamu_2024_Split_1.png/revision/latest/scale-to-width-down/220?cb=20240307144147
XUN, CN,84,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/3/3f/EDG_Xiamu_2024_Split_1.png/revision/latest/scale-to-width-down/220?cb=20240307144147
Dasher, KR,97,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/3/3f/EDG_Xiamu_2024_Split_1.png/revision/latest/scale-to-width-down/220?cb=20240307144147
Evi, JP,82,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/3/3f/EDG_Xiamu_2024_Split_1.png/revision/latest/scale-to-width-down/220?cb=20240307144147
Forest, KR,83,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/3/3f/EDG_Xiamu_2024_Split_1.png/revision/latest/scale-to-width-down/220?cb=20240307144147
Marble, JP,95,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/3/3f/EDG_Xiamu_2024_Split_1.png/revision/latest/scale-to-width-down/220?cb=20240307144147
Vsta, KR,65,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/3/3f/EDG_Xiamu_2024_Split_1.png/revision/latest/scale-to-width-down/220?cb=20240307144147
GALA, CN,81,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/3/3f/EDG_Xiamu_2024_Split_1.png/revision/latest/scale-to-width-down/220?cb=20240307144147
Scout, KR,82,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/3/3f/EDG_Xiamu_2024_Split_1.png/revision/latest/scale-to-width-down/220?cb=20240307144147
WeiWei, CN,70,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/3/3f/EDG_Xiamu_2024_Split_1.png/revision/latest/scale-to-width-down/220?cb=20240307144147
Zika, CN,75,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/3/3f/EDG_Xiamu_2024_Split_1.png/revision/latest/scale-to-width-down/220?cb=20240307144147
Bdd, KR,83,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/3/3f/EDG_Xiamu_2024_Split_1.png/revision/latest/scale-to-width-down/220?cb=20240307144147
BeryL, KR,56,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/3/3f/EDG_Xiamu_2024_Split_1.png/revision/latest/scale-to-width-down/220?cb=20240307144147
Deft, KR,82,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/3/3f/EDG_Xiamu_2024_Split_1.png/revision/latest/scale-to-width-down/220?cb=20240307144147
FoFo, TW,77,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/3/3f/EDG_Xiamu_2024_Split_1.png/revision/latest/scale-to-width-down/220?cb=20240307144147
Heng, CN,64,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/3/3f/EDG_Xiamu_2024_Split_1.png/revision/latest/scale-to-width-down/220?cb=20240307144147
Pyosik, KR,68,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/3/3f/EDG_Xiamu_2024_Split_1.png/revision/latest/scale-to-width-down/220?cb=20240307144147
Wayward, CN,75,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/3/3f/EDG_Xiamu_2024_Split_1.png/revision/latest/scale-to-width-down/220?cb=20240307144147
Croco, KR,71,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/3/3f/EDG_Xiamu_2024_Split_1.png/revision/latest/scale-to-width-down/220?cb=20240307144147
Hope, CN,82,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/3/3f/EDG_Xiamu_2024_Split_1.png/revision/latest/scale-to-width-down/220?cb=20240307144147
Kael, KR,53,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/3/3f/EDG_Xiamu_2024_Split_1.png/revision/latest/scale-to-width-down/220?cb=20240307144147
Shanks, CN,85,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/3/3f/EDG_Xiamu_2024_Split_1.png/revision/latest/scale-to-width-down/220?cb=20240307144147
Ahn, CN,79,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/3/3f/EDG_Xiamu_2024_Split_1.png/revision/latest/scale-to-width-down/220?cb=20240307144147
PerfecT, KR,72,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/3/3f/EDG_Xiamu_2024_Split_1.png/revision/latest/scale-to-width-down/220?cb=20240307144147
Care, CN,79,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/3/3f/EDG_Xiamu_2024_Split_1.png/revision/latest/scale-to-width-down/220?cb=20240307144147
Life, KR,53,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/3/3f/EDG_Xiamu_2024_Split_1.png/revision/latest/scale-to-width-down/220?cb=20240307144147
deokdam, KR,76,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/3/3f/EDG_Xiamu_2024_Split_1.png/revision/latest/scale-to-width-down/220?cb=20240307144147
Bulldog, KR,77,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/3/3f/EDG_Xiamu_2024_Split_1.png/revision/latest/scale-to-width-down/220?cb=20240307144147
Cuzz, KR,65,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/3/3f/EDG_Xiamu_2024_Split_1.png/revision/latest/scale-to-width-down/220?cb=20240307144147
DuDu, KR,73,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/3/3f/EDG_Xiamu_2024_Split_1.png/revision/latest/scale-to-width-down/220?cb=20240307144147
Doggo, TW,71,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/3/3f/EDG_Xiamu_2024_Split_1.png/revision/latest/scale-to-width-down/220?cb=20240307144147
H4cker, CN,60,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/3/3f/EDG_Xiamu_2024_Split_1.png/revision/latest/scale-to-width-down/220?cb=20240307144147
Yuekai, CN,71,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/3/3f/EDG_Xiamu_2024_Split_1.png/revision/latest/scale-to-width-down/220?cb=20240307144147
Xiaolaohu, CN,74,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/3/3f/EDG_Xiamu_2024_Split_1.png/revision/latest/scale-to-width-down/220?cb=20240307144147
Cryin, CN,72,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/3/3f/EDG_Xiamu_2024_Split_1.png/revision/latest/scale-to-width-down/220?cb=20240307144147
Wink, CN,50,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/3/3f/EDG_Xiamu_2024_Split_1.png/revision/latest/scale-to-width-down/220?cb=20240307144147
Alvaro, ES,51,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/3/3f/EDG_Xiamu_2024_Split_1.png/revision/latest/scale-to-width-down/220?cb=20240307144147
Elyoya, ES,67,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/3/3f/EDG_Xiamu_2024_Split_1.png/revision/latest/scale-to-width-down/220?cb=20240307144147
Fresskowy, PL,75,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/3/3f/EDG_Xiamu_2024_Split_1.png/revision/latest/scale-to-width-down/220?cb=20240307144147
Myrwn, ES,71,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/3/3f/EDG_Xiamu_2024_Split_1.png/revision/latest/scale-to-width-down/220?cb=20240307144147
Supa, ES,81,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/3/3f/EDG_Xiamu_2024_Split_1.png/revision/latest/scale-to-width-down/220?cb=20240307144147
Ppgod, CN,46,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/3/3f/EDG_Xiamu_2024_Split_1.png/revision/latest/scale-to-width-down/220?cb=20240307144147
xiaofang, CN,66,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/3/3f/EDG_Xiamu_2024_Split_1.png/revision/latest/scale-to-width-down/220?cb=20240307144147
1Jiang, TW,77,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/3/3f/EDG_Xiamu_2024_Split_1.png/revision/latest/scale-to-width-down/220?cb=20240307144147
Gemini, TW,68,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/3/3f/EDG_Xiamu_2024_Split_1.png/revision/latest/scale-to-width-down/220?cb=20240307144147
Ice, KR,88,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/3/3f/EDG_Xiamu_2024_Split_1.png/revision/latest/scale-to-width-down/220?cb=20240307144147
Kaiwing, HK,56,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/3/3f/EDG_Xiamu_2024_Split_1.png/revision/latest/scale-to-width-down/220?cb=20240307144147
Labrov, GR,53,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/3/3f/EDG_Xiamu_2024_Split_1.png/revision/latest/scale-to-width-down/220?cb=20240307144147
Sheo, FR,70,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/3/3f/EDG_Xiamu_2024_Split_1.png/revision/latest/scale-to-width-down/220?cb=20240307144147
nuc, FR,80,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/3/3f/EDG_Xiamu_2024_Split_1.png/revision/latest/scale-to-width-down/220?cb=20240307144147
milkyway, CN,74,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/3/3f/EDG_Xiamu_2024_Split_1.png/revision/latest/scale-to-width-down/220?cb=20240307144147
Breathe, CN,68,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/3/3f/EDG_Xiamu_2024_Split_1.png/revision/latest/scale-to-width-down/220?cb=20240307144147
Jiwoo, KR,71,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/3/3f/EDG_Xiamu_2024_Split_1.png/revision/latest/scale-to-width-down/220?cb=20240307144147
Sylvie, KR,54,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/3/3f/EDG_Xiamu_2024_Split_1.png/revision/latest/scale-to-width-down/220?cb=20240307144147
Jwei, CN,40,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/3/3f/EDG_Xiamu_2024_Split_1.png/revision/latest/scale-to-width-down/220?cb=20240307144147
Pleata, KR,36,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/3/3f/EDG_Xiamu_2024_Split_1.png/revision/latest/scale-to-width-down/220?cb=20240307144147
Sponge, KR,53,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/3/3f/EDG_Xiamu_2024_Split_1.png/revision/latest/scale-to-width-down/220?cb=20240307144147
Teddy, KR,68,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/3/3f/EDG_Xiamu_2024_Split_1.png/revision/latest/scale-to-width-down/220?cb=20240307144147
Clear, KR,68,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/3/3f/EDG_Xiamu_2024_Split_1.png/revision/latest/scale-to-width-down/220?cb=20240307144147
Clozer, KR,74,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/3/3f/EDG_Xiamu_2024_Split_1.png/revision/latest/scale-to-width-down/220?cb=20240307144147
Execute, KR,43,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/3/3f/EDG_Xiamu_2024_Split_1.png/revision/latest/scale-to-width-down/220?cb=20240307144147
Hena, KR,75,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/3/3f/EDG_Xiamu_2024_Split_1.png/revision/latest/scale-to-width-down/220?cb=20240307144147
DnDn, KR,61,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/3/3f/EDG_Xiamu_2024_Split_1.png/revision/latest/scale-to-width-down/220?cb=20240307144147
Vampire, CN,46,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/3/3f/EDG_Xiamu_2024_Split_1.png/revision/latest/scale-to-width-down/220?cb=20240307144147
Assum, CN,69,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/3/3f/EDG_Xiamu_2024_Split_1.png/revision/latest/scale-to-width-down/220?cb=20240307144147
Vicla, KR,69,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/3/3f/EDG_Xiamu_2024_Split_1.png/revision/latest/scale-to-width-down/220?cb=20240307144147
Xiaoxu, CN,65,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/3/3f/EDG_Xiamu_2024_Split_1.png/revision/latest/scale-to-width-down/220?cb=20240307144147
Brokenblade, DE,78,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/3/3f/EDG_Xiamu_2024_Split_1.png/revision/latest/scale-to-width-down/220?cb=20240307144147
Caps, DK,89,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/3/3f/EDG_Xiamu_2024_Split_1.png/revision/latest/scale-to-width-down/220?cb=20240307144147
Hans Sama, FR,92,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/3/3f/EDG_Xiamu_2024_Split_1.png/revision/latest/scale-to-width-down/220?cb=20240307144147
Mikyx, SI,56,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/3/3f/EDG_Xiamu_2024_Split_1.png/revision/latest/scale-to-width-down/220?cb=20240307144147
Yike, SE,79,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/3/3f/EDG_Xiamu_2024_Split_1.png/revision/latest/scale-to-width-down/220?cb=20240307144147
Aria, KR,94,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/3/3f/EDG_Xiamu_2024_Split_1.png/revision/latest/scale-to-width-down/220?cb=20240307144147
Harp, KR,60,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/3/3f/EDG_Xiamu_2024_Split_1.png/revision/latest/scale-to-width-down/220?cb=20240307144147
RayFarky, JP,73,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/3/3f/EDG_Xiamu_2024_Split_1.png/revision/latest/scale-to-width-down/220?cb=20240307144147
Steal, KR,73,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/3/3f/EDG_Xiamu_2024_Split_1.png/revision/latest/scale-to-width-down/220?cb=20240307144147
Yutapon, JP,89,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/3/3f/EDG_Xiamu_2024_Split_1.png/revision/latest/scale-to-width-down/220?cb=20240307144147
Iwandy, CN,43,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/3/3f/EDG_Xiamu_2024_Split_1.png/revision/latest/scale-to-width-down/220?cb=20240307144147
Angel, CN,74,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/3/3f/EDG_Xiamu_2024_Split_1.png/revision/latest/scale-to-width-down/220?cb=20240307144147
Burdol, KR,66,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/3/3f/EDG_Xiamu_2024_Split_1.png/revision/latest/scale-to-width-down/220?cb=20240307144147
Haichao, CN,74,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/3/3f/EDG_Xiamu_2024_Split_1.png/revision/latest/scale-to-width-down/220?cb=20240307144147
Meteor, CN,64,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/3/3f/EDG_Xiamu_2024_Split_1.png/revision/latest/scale-to-width-down/220?cb=20240307144147
jinjiao, CN,46,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/3/3f/EDG_Xiamu_2024_Split_1.png/revision/latest/scale-to-width-down/220?cb=20240307144147
Morgan, KR,60,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/3/3f/EDG_Xiamu_2024_Split_1.png/revision/latest/scale-to-width-down/220?cb=20240307144147
Cariok, BR,68,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/3/3f/EDG_Xiamu_2024_Split_1.png/revision/latest/scale-to-width-down/220?cb=20240307144147
Kuri, KR,53,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/3/3f/EDG_Xiamu_2024_Split_1.png/revision/latest/scale-to-width-down/220?cb=20240307144147
Titan, BR,89,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/3/3f/EDG_Xiamu_2024_Split_1.png/revision/latest/scale-to-width-down/220?cb=20240307144147
Wizer, KR,75,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/3/3f/EDG_Xiamu_2024_Split_1.png/revision/latest/scale-to-width-down/220?cb=20240307144147
dyNquedo, BR,83,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/3/3f/EDG_Xiamu_2024_Split_1.png/revision/latest/scale-to-width-down/220?cb=20240307144147
665, TW,72,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/3/3f/EDG_Xiamu_2024_Split_1.png/revision/latest/scale-to-width-down/220?cb=20240307144147
Cryscata, TW,81,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/3/3f/EDG_Xiamu_2024_Split_1.png/revision/latest/scale-to-width-down/220?cb=20240307144147
Orca, TW,59,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/3/3f/EDG_Xiamu_2024_Split_1.png/revision/latest/scale-to-width-down/220?cb=20240307144147
Taco, TW,72,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/3/3f/EDG_Xiamu_2024_Split_1.png/revision/latest/scale-to-width-down/220?cb=20240307144147
Cube, CN,64,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/3/3f/EDG_Xiamu_2024_Split_1.png/revision/latest/scale-to-width-down/220?cb=20240307144147
Karis, KR,64,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/3/3f/EDG_Xiamu_2024_Split_1.png/revision/latest/scale-to-width-down/220?cb=20240307144147
Ceo, AR,84,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/3/3f/EDG_Xiamu_2024_Split_1.png/revision/latest/scale-to-width-down/220?cb=20240307144147
Summit, KR,80,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/3/3f/EDG_Xiamu_2024_Split_1.png/revision/latest/scale-to-width-down/220?cb=20240307144147
Hery, CN,64,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/3/3f/EDG_Xiamu_2024_Split_1.png/revision/latest/scale-to-width-down/220?cb=20240307144147
Lyonz, AR,56,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/3/3f/EDG_Xiamu_2024_Split_1.png/revision/latest/scale-to-width-down/220?cb=20240307144147
Oddie, PE,71,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/3/3f/EDG_Xiamu_2024_Split_1.png/revision/latest/scale-to-width-down/220?cb=20240307144147
Flandre, CN,73,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/3/3f/EDG_Xiamu_2024_Split_1.png/revision/latest/scale-to-width-down/220?cb=20240307144147
Adam, FR,72,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/3/3f/EDG_Xiamu_2024_Split_1.png/revision/latest/scale-to-width-down/220?cb=20240307144147
1xn, CN,71,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/3/3f/EDG_Xiamu_2024_Split_1.png/revision/latest/scale-to-width-down/220?cb=20240307144147
Beichuan, CN,62,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/3/3f/EDG_Xiamu_2024_Split_1.png/revision/latest/scale-to-width-down/220?cb=20240307144147
Hoya, KR,60,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/3/3f/EDG_Xiamu_2024_Split_1.png/revision/latest/scale-to-width-down/220?cb=20240307144147
Ucal, KR,73,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/3/3f/EDG_Xiamu_2024_Split_1.png/revision/latest/scale-to-width-down/220?cb=20240307144147
